idx,start_year,end_year,title,country_1,country_2,casualty_1,casualty_million,category,region
1,1900,1900,Null,Null,Null,0,0,Null,Asia
2,1899,1902,British-Boer war ,South Africa,England,100000,0.1,Independence War,Africa
3,1899,1903,Colombian Civil war ,Colombia,Null,120000,0.12,Civil War,South America
4,1904,1905,Japan vs Russia War,Japan ,Russia ,150000,0.15,War,Asia
5,1886,1908,Congo Free State vs Belgium,Belgium,Congo,8000000,8,Independence War,Africa
6,1911,1911,Chinese Revolution ,China,Null,2400000,2.4,Revolution,China
7,1912,1913,Balkan wars ,Balkan,Null,150000,0.15,Independence War,Europe
8,1916,1916,Kyrgyz revolt against Russia,Russia,Null,120000,0.12,Independence War,Asia
9,1914,1918,World War I ,World,Null,20000000,20,World War,"World War I,II"
10,1910,1919,Mexican Revolution ,Mexican,Null,250000,0.25,Revolution,South America
11,1918,1920,Russian Civil war ,Russian,Null,1000000,1,Civil War,Russia
12,1917,1921,Soviet Revolution ,Russia,Null,5000000,5,Revolution,Russia
13,1915,1923,Ottoman Genocide ,Turkey,Null,2500000,2.5,Genocide,Middle East
14,1931,1931,Japanese Manchurian War ,Japan,China,1100000,1.1,War,Asia
15,1932,1933,Ukraine vs Soviet Union,Russia,Ukraine ,10000000,10,War,Europe
16,1934,1934,China-Mao's Long March ,China,Null,170000,0.17,Revolution,China
17,1932,1935,"Bolivia vs Paraguay-""Guerra del Chaco"" ",Bolivia,Paraguay,117500,0.1175,War,South America
18,1936,1936,Italy's invasion of Ethiopia ,Italy,Ethiopia,200000,0.2,Independence War,Africa
19,1928,1937,Chinese Civil war ,China,Null,2000000,2,Civil War,China
20,1936,1937,Russia-Stalin's purges ,Russia,Null,13000000,13,Dictatorship,Russia
21,1936,1939,Spanish Civil war ,Spain,Null,600000,0.6,Civil War,Europe
22,1937,1945,Japanese invasion of China ,Japan,China,500000,0.5,War,Asia
23,1939,1945,World War II ,World,Null,60000000,60,World War,"World War I,II"
24,1941,1945,Europe-Holocaust ,Germany,Null,6000000,6,Genocide,Europe
25,1947,1947,Partition of India and Pakistan , India,Pakistan ,1000000,1,War,Asia
26,1946,1949,Chinese civil war ,China,Null,1200000,1.2,Civil War,China
27,1949,1950,Mainland China vs Tibet ,China,Null,1200000,1.2,Independence War,China
28,1950,1953,Korean war ,North Korea,South Korea,3000000,3,War,Asia
29,1946,1954,France vs Vietnam war ,France,Vietnam,600000,0.6,War,Asia
30,1948,1958,Colombian civil war ,Colombia,Null,250000,0.25,Civil War,South America
31,1958,1961,"China-Mao's ""Great Leap Forward""",China,Null,38000000,38,Genocide,China
32,1954,1962,French vs Algerian war ,France,Algeria,368000,0.368,Independence War,Africa
33,1965,1966,Indonesian civil war ,Indonesian,Null,250000,0.25,Civil War,Asia
34,1966,1969,"China-Mao's ""Cultural Revolution"" ",Mao's,Null,11000000,11,Revolution,China
